IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.29.59.30,5,5,0.00,41.93,85.35
162.159.197.100,5,5,0.00,44.76,79.99
162.159.245.226,5,5,0.00,115.64,78.28
162.159.35.37,5,5,0.00,117.38,74.68
198.41.208.22,5,5,0.00,105.64,72.33
104.29.59.164,5,5,0.00,34.58,68.36
104.29.68.147,5,5,0.00,34.77,66.53
104.16.5.248,5,5,0.00,132.26,66.36
162.159.14.232,5,5,0.00,109.56,63.95
162.159.251.211,5,5,0.00,113.07,60.42
104.16.4.172,5,5,0.00,127.34,55.44
104.29.59.199,5,5,0.00,42.06,39.09
162.159.200.164,5,5,0.00,136.02,12.36
162.159.34.109,5,5,0.00,86.06,5.15
198.41.209.152,5,5,0.00,105.92,4.14
162.159.40.221,5,5,0.00,112.74,4.10
198.41.222.83,5,5,0.00,113.39,3.99
104.16.14.46,5,5,0.00,105.01,3.77
190.93.244.171,5,5,0.00,76.28,3.75
162.159.42.207,5,5,0.00,129.66,3.40
104.16.3.94,5,5,0.00,74.93,3.27
141.101.121.0,5,5,0.00,134.78,3.24
104.16.11.3,5,5,0.00,45.50,2.91
162.159.7.156,5,5,0.00,113.46,2.86
162.159.32.160,5,5,0.00,109.05,2.64
104.16.13.189,5,5,0.00,116.28,0.00
162.159.201.107,5,5,0.00,111.26,0.00
168.138.184.64,5,5,0.00,85.54,0.00
47.91.23.146,5,5,0.00,39.51,0.00
103.186.85.162,5,5,0.00,33.06,0.00
